CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,D,Sebastian Aho (31309336),Sebastian Aho,31309336,CPT,7200,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.88
,,,,,,,C,Sean Couturier (31309276),Sean Couturier,31309276,FLEX,7000,PHI@NYI 11/25/2023 07:30PM ET,PHI,9.49
,,,,,,,LW,Anders Lee (31309337),Anders Lee,31309337,CPT,6900,PHI@NYI 11/25/2023 07:30PM ET,NYI,6.48
,,,,,,,RW,Kyle Palmieri (31309277),Kyle Palmieri,31309277,FLEX,6800,PHI@NYI 11/25/2023 07:30PM ET,NYI,8.87
,,,,,,,D,Scott Mayfield (31309278),Scott Mayfield,31309278,FLEX,6600,PHI@NYI 11/25/2023 07:30PM ET,NYI,8.14
,,,,,,,C,Morgan Frost (31309338),Morgan Frost,31309338,CPT,6600,PHI@NYI 11/25/2023 07:30PM ET,PHI,5.99
,,,,,,,RW,Simon Holmstrom (31309279),Simon Holmstrom,31309279,FLEX,6400,PHI@NYI 11/25/2023 07:30PM ET,NYI,5.27
,,,,,,,C,Ryan Poehling (31309339),Ryan Poehling,31309339,CPT,6300,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.47
,,,,,,,D,Ryan Pulock (31309280),Ryan Pulock,31309280,FLEX,6200,PHI@NYI 11/25/2023 07:30PM ET,NYI,7.82
,,,,,,,LW,Tyson Foerster (31309281),Tyson Foerster,31309281,FLEX,6000,PHI@NYI 11/25/2023 07:30PM ET,PHI,4.68
,,,,,,,D,Adam Pelech (31309340),Adam Pelech,31309340,CPT,6000,PHI@NYI 11/25/2023 07:30PM ET,NYI,5.46
,,,,,,,RW,Bobby Brink (31309282),Bobby Brink,31309282,FLEX,5800,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.99
,,,,,,,D,Alexander Romanov (31309341),Alexander Romanov,31309341,CPT,5700,PHI@NYI 11/25/2023 07:30PM ET,NYI,7.75
,,,,,,,D,Nick Seeler (31309283),Nick Seeler,31309283,FLEX,5600,PHI@NYI 11/25/2023 07:30PM ET,PHI,7.33
,,,,,,,C,Scott Laughton (31309284),Scott Laughton,31309284,FLEX,5400,PHI@NYI 11/25/2023 07:30PM ET,PHI,7.52
,,,,,,,RW,Oliver Wahlstrom (31309342),Oliver Wahlstrom,31309342,CPT,5400,PHI@NYI 11/25/2023 07:30PM ET,NYI,6.35
,,,,,,,D,Cam York (31309285),Cam York,31309285,FLEX,5200,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.94
,,,,,,,D,Louie Belpedio (31309343),Louie Belpedio,31309343,CPT,5100,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.2
